"INSTALACIONES AUTORIZADAS PARA EL ALMACENAMIENTO, TRATAMIENTO, APROVECHAMIENTO, Y/O DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y/O DE APARATOS ELÉCTRICOS Y ELECTRÓNICOS (RAEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Información registrada por las Autoridades Ambientales y consolidada por el IDEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTA: La presente consulta corresponde al estado de los gestores reportados por la Autoridad ambiental a la fecha de 02/09/2025, 4:26:54 pm Si requiere mayor información, por favor comuníquese con la Autoridad ambiental respectiva de la jurisdicción.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Registros : 299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN SEDES GESTORAS,,,,,,,,,,,,,,INFORMACIÓN CONTACTO SEDES GESTORAS,,,RESPEL: AUTORIZADO PARA,,,,,,,RAEE: AUTORIZADO PARA,,,,,,,AUTORIZACIÓN AMBIENTAL,,,,
Nro.,Departamento,Municipio,Autoridad,NIT o Número de Identificación,Empresa,Nombre Establecimiento,Estado,Desde,Dirección,Teléfono,Latitud,Longitud,Email Representante,Nombre(s) y Apellido(s),Teléfono,Email,Almacenamiento,Tratamiento,Subgestión,Aprovechamiento,Subgestión,Disposición Final,Subgestión,Almacenamiento,Tratamiento,Subgestión,Aprovechamiento,Subgestión,Disposición Final,Subgestión,Acto Administrativo Nro.,Fecha Otorgamiento,Vigencia,Tiene adjunto soporte,Nro. de archivos
177,CUNDINAMARCA,SOACHA,CAR,830511431,RETAMBORES LTDA,RETAMBORES LTDA,Activo,16/07/2010,CRA 9 No.9-62 BARRIO SANTA ANA,7211763 -,'4.583244058425032','-74.22324513009875',r.humano@retamboresltda.com,HENRY PARRADO CORTES,7211763 -,r.humano@retamboresltda.com,NO,NO,NO,"A4130-Envases y contenedores de desechos que contienen sustancias incluidas en el Anexo I, en concentraciones suficientes como para mostrar las características peligrosas del Anexo III.::",R11-Utilización de materiales residuales resultantes de cualquiera de las operaciones numeradas de R1 a R10::,NO,NO,NO,NO,NO,NO,NO,NO,NO,1228,17/06/2009,,SI,2
178,CUNDINAMARCA,SOACHA,CAR,900218279,SERVIECOLOGICO S.A.S,SERVIECOLOGICO S.A.S,Activo,14/11/2018,Carrera 2 No. 56-80 Zona Industrial de Cazuca,9053928 -,'4.5827227','-74.21174649999999',javier.useche@serviecologicos.com,JAVIER FERNANDO USECHE,9053928 -,javier.useche@serviecologicos.com,NO,NO,NO,NO,NO,NO,NO,"2.1-Antenas para Telecomunicaciones::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.4-Equipos de iluminación::3.11-Pilas y acumuladores::",NO,NO,"2.1-Antenas para Telecomunicaciones::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.4-Equipos de iluminación::3.11-Pilas y acumuladores::",Otras actividades de recuperación o reciclado::,NO,NO,3622,14/11/2018,,NO,0
179,CUNDINAMARCA,ZIPAQUIRA,CAR,9010058551,COMPUAMBIENTE SAS,COMPUAMBIENTE SAS,Activo,20/09/2021,"Bodega 29 Parque Industrial Zuma, vereda Portachuelo",3114629334 -,'4.997219404245513','-74.00046498522059',compuambientes@gmail.com,JONATHAN FABIAN VARGAS SILVA,3114942902 -,compuambientes@gmail.com,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,2021700035,19/08/2021,,SI,1
180,CHOCÓ,QUIBDO,CODECHOCO,901212622,RECICLAJE DE APARATOS TECNOLOGICOS DEL CHOCO S.A.S,RECICLAJE DE APARATOS TECNOLOGICOS DEL CHOC? S.A.S,Activo,05/03/2021,QUIBDO - YUTO ANTES DE LA TERMINAL DE TRANSPORTE,3142595507 -,'5.656963888888889','-76.64302777777779',yefferemilio@hotmail.com,YEFFER EMILIO PARRA ARROYO,3142595507 -,reatchquibdo@gmail.com,"Y3-Desechos de medicamentos y productos farmacéuticos.::Y4-Desechos resultantes de la producción, la preparación y la utilización de biocidas y productos fitofarmacéuticos.::Y5-Desechos resultantes de la fabricación, preparación y utilización de productos químicos para la preservación de la madera.::Y6-Desechos resultantes de la producción, la preparación y la utilización de disolventes orgánicos.::Y7-Desechos que contengan cianuros, resultantes del tratamiento térmico y las operaciones de temple.::Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y10-Sustancias y artículos de desecho que contengan, o estén contaminados por, bifenilos policlorados (PCB), terfenilos policlorados (PCT) o bifenilos polibromados (PBB).::Y11-Residuos alquitranados resultantes de la refinación, destilación o cualquier otro tratamiento pirolítico.::Y12-Desechos resultantes de la producción, preparación y utilización de tintas, colorantes, pigmentos, pinturas, lacas o barnices.::Y13-Desechos resultantes de la producción, preparación y utilización de resinas, látex, plastificantes o colas y adhesivos.::Y14-Sustancias químicas de desecho, no identificadas o nuevas, resultantes de la investigación y el desarrollo o de las actividades de enseñanza y cuyos efectos en el ser humano o el medio ambiente no se conozcan.::Y15-Desechos de carácter explosivo que no estén sometidos a una legislación diferente.::Y16-Desechos resultantes de la producción, preparación y utilización de productos químicos y materiales para fines fotográficos.::Y17-Desechos resultantes del tratamiento de superficie de metales y plásticos.::Y18-Residuos resultantes de las operaciones de eliminación de desechos industriales.::Y1-Desechos clínicos resultantes de la atención médica prestada en hospitales, centros médicos y clínicas.::Y2-Desechos resultantes de la producción y preparación de productos farmacéuticos.::","Y1.2-Desechos clínicos BIOSANITARIOS resultantes de la atención en salud en Hospitales, consultorios, clínicas y otros::",Térmico: Autoclavado::,NO,NO,NO,NO,"1.3-Enseres mayores de hogar::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::1.7-Enseres menores personales::1.9-Herramientas para el hogar::1.10-Refrigeración doméstica y comercial::2.1-Antenas para Telecomunicaciones::2.4-Computadores y equipos para tratamiento de datos::2.5-Equipos electromédicos::2.8-Equipos de instrumentación y control::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.4-Equipos de iluminación::3.7-Máquinas y aparatos de oficina::1.1-Cocinas y hornos::1.2-Enseres de Audio y Video::",NO,NO,NO,NO,NO,NO,481,24/03/2020,,SI,3
181,HUILA,NEIVA,CAM,813000008,ATP INGENIERÍA S.A.S.,ATP INGENIERIA S.A.S.,Activo,01/01/2003,CALLE 25 SUR N 5 - 80 Zona Industrial,8602871 -,'2.9776606967711388','-75.30734131646881',contacto@atpingenieria.com,Efrain Perez Morales,8602972 -,contacto@atpingenieria.com,"Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::Y8.7-Otros desechos de mezclas de aceite y agua no clasificados previamente::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::Y9.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::Y9.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::A3020-Aceites minerales de desecho no aptos para el uso al que estaban destinados.::A3020.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::A3020.4-Mezclas de aceite lubricante usado con agua::A3020.7-Otros desechos de mezclas de aceite y agua no clasificados previamente::A4060-Desechos de mezclas y emulsiones de aceite y agua o de hidrocarburos y agua.::A4060.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::A4060.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::A4060.4-Mezclas o emulsiones líquidas de agua con hidrocarburo con contenido de sólidos 3%)::A4060.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::","Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::Y8.7-Otros desechos de mezclas de aceite y agua no clasificados previamente::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::Y9.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::Y9.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::A3020-Aceites minerales de desecho no aptos para el uso al que estaban destinados.::A3020.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::A3020.4-Mezclas de aceite lubricante usado con agua::A3020.7-Otros desechos de mezclas de aceite y agua no clasificados previamente::A4060-Desechos de mezclas y emulsiones de aceite y agua o de hidrocarburos y agua.::A4060.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::A4060.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::A4060.4-Mezclas o emulsiones líquidas de agua con hidrocarburo con contenido de sólidos 3%)::A4060.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::",Biológico (ej: bioremediación)::,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1689,30/05/2018,30/05/2023,SI,2
182,HUILA,NEIVA,CAM,800093661,GEOAMBIENTAL S.A.S.,GEOAMBIENTAL S.A.S,Activo,01/01/2008,CARRERA 19B N 166 - 50,6780048 -,'2.977738375810848','-75.30731985879669',geoambiental@geoambiental.com,MAURICO BARRIANTES,6780048 -,goambiental@geoambiental.com,"Y9.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::A3020.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::A3020.4-Mezclas de aceite lubricante usado con agua::A4060-Desechos de mezclas y emulsiones de aceite y agua o de hidrocarburos y agua.::A4060.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::A4060.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::A4060.4-Mezclas o emulsiones líquidas de agua con hidrocarburo con contenido de sólidos 3%)::Y8.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::","Y8.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::Y9.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::A3020.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::A4060.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::A4060.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::A4060.4-Mezclas o emulsiones líquidas de agua con hidrocarburo con contenido de sólidos 3%)::A4060.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::",Biológico (ej: bioremediación)::,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2964,12/10/2017,,SI,2
183,HUILA,NEIVA,CAM,813005241,INCINERADOS DEL HUILA S.A. E.S.P.,INCIHUILA S.A. E.S.P.,Activo,01/01/2004,VEREDA LA JAGUA - RELLENO SANITARIO,8630403 -,'2.993194424206036','-75.23094534884878',coordinadorambiental@incihuila.com.co,Daniela Andrade,3123358148 -,coordinadorambiental@incihuila.com.co,"Y1.2-Desechos clínicos BIOSANITARIOS resultantes de la atención en salud en Hospitales, consultorios, clínicas y otros::Y1.3-Desechos clínicos CORTOPUNZANTES resultantes de la atención en salud en Hospitales, consultorios, clínicas y otros::Y1.4-Desechos de ANIMALES - residuos decomisos NO aprovechables::Y2-Desechos resultantes de la producción y preparación de productos farmacéuticos.::Y3-Desechos de medicamentos y productos farmacéuticos.::Y4.2-Elementos o materiales contaminados con plaguicidas, biocidas, productos fitofarmacéuticos (ej. EPP, estopas, trapos, cauchos, aserrín, arena, materiales de embalaje)::Y4.4-Residuos de bolsas plásticas impregnadas de plaguicidas o biocidas (ej. residuos de bolsas utilizadas en cultivos de plátano y banano)::Y4.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con plaguicidas, biocidas o productos fitofarmacéuticos::Y8.2-Elementos o materiales contaminados con aceite lubricante usado (ej. EPP, estopas, trapos, filtros, cauchos, aserrín, plásticos, grasas minerales, tapas casing)::Y8.6-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con aceites usados::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.2-Elementos o materiales contaminados con hidrocarburos (ej. EPP, estopas, textiles, plásticos, caucho, sierras, geomembranas).::Y9.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con hidrocarburos.::Y12-Desechos resultantes de la producción, preparación y utilización de tintas, colorantes, pigmentos, pinturas, lacas o barnices.::Y17-Desechos resultantes del tratamiento de superficie de metales y plásticos.::Y18-Residuos resultantes de las operaciones de eliminación de desechos industriales.::Y29.2-Desechos que contienen mercurio o compuestos de mercurio (ej. Lámparas fluorescentes compactas o lineales, lámparas de vapor de mercurio, amalgama dental, termómetros de mercurio, manómetros no electrónicos).::A1180-Montajes eléctricos y electrónicos de desecho o restos de éstos que contengan componentes como acumuladores y otras baterías incluidos en la lista A, interruptores de mercurio, vidrios de tubos de rayos catódicos y otros vidrios activados y capacitadores de PCB, o contaminados con constituyentes del Anexo I (por ejemplo, cadmio, mercurio, plomo, bifenilo policlorado) en tal grado que posean alguna de las características del Anexo III (véase la entrada correspondiente en la lista B B1110) .::A3020.2-Elementos o materiales contaminados con aceite lubricante usado (ej. EPP, estopas, trapos, filtros, cauchos, aserrín, plásticos, grasas minerales, tapas casing)::A3020.6-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con aceites usados::A3020.7-Otros desechos de mezclas de aceite y agua no clasificados previamente::A4010-Desechos resultantes de la producción, preparación y utilización de productos farmacéuticos, pero con exclusión de los desechos especificados en la lista B.::A4020-Desechos clínicos y afines::A4020.1-Desechos clínicos y afines ANATOMOPATOLÓGICOS::A4020.2-Desechos clínicos y afines BIOSANITARIOS::A4020.3-Desechos clínicos y afines CORTOPUNZANTES::A4020.4-Desechos clínicos y afines DE ANIMALES::A4030.2-Elementos o materiales contaminados con plaguicidas, biocidas, productos fitofarmacéuticos (ej. EPP, estopas, trapos, cauchos, aserrín, arena, materiales de embalaje)::A4030.3-Tierra o sedimentos impregnados con plaguicidas, biocidas o productos fitofarmacéuticos::A4030.4-Residuos de bolsas plásticas impregnadas de plaguicidas o biocidas (ej. residuos de bolsas utilizadas en cultivos de plátano y banano)::A4030.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con plaguicidas, biocidas o productos fitofarmacéuticos::A4060.2-Elementos o materiales contaminados con hidrocarburos (ej. EPP, estopas, textiles, plásticos, caucho, sierras, geomembranas).::A4060.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con hidrocarburos::A4130-Envases y contenedores de desechos que contienen sustancias incluidas en el Anexo I, en concentraciones suficientes como para mostrar las características peligrosas del Anexo III.::A4130.1-Otros envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con productos o sustancias químicas peligrosas, DIFERENTES a plaguicidas, biocidas, productos fitofarmacéuticos (Y4.5/A4030.5), hidrocarburos (Y9.5/A4060.5), aceites usados (Y8.6/A3020.6), PCB (Y10.4/A3180.4), sustancias CFC, HCFC, HFC y halones (Y45.6).::Y1-Desechos clínicos resultantes de la atención médica prestada en hospitales, centros médicos y clínicas.::Y1.1-Desechos clínicos ANATOMOPATOLÓGICOS resultantes de la atención en salud en Hospitales, consultorios, clínicas y otros::","Y1-Desechos clínicos resultantes de la atención médica prestada en hospitales, centros médicos y clínicas.::Y1.1-Desechos clínicos ANATOMOPATOLÓGICOS resultantes de la atención en salud en Hospitales, consultorios, clínicas y otros::Y1.2-Desechos clínicos BIOSANITARIOS resultantes de la atención en salud en Hospitales, consultorios, clínicas y otros::Y1.3-Desechos clínicos CORTOPUNZANTES resultantes de la atención en salud en Hospitales, consultorios, clínicas y otros::Y1.4-Desechos de ANIMALES - residuos decomisos NO aprovechables::Y3-Desechos de medicamentos y productos farmacéuticos.::Y4.2-Elementos o materiales contaminados con plaguicidas, biocidas, productos fitofarmacéuticos (ej. EPP, estopas, trapos, cauchos, aserrín, arena, materiales de embalaje)::Y4.4-Residuos de bolsas plásticas impregnadas de plaguicidas o biocidas (ej. residuos de bolsas utilizadas en cultivos de plátano y banano)::Y4.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con plaguicidas, biocidas o productos fitofarmacéuticos::Y8.2-Elementos o materiales contaminados con aceite lubricante usado (ej. EPP, estopas, trapos, filtros, cauchos, aserrín, plásticos, grasas minerales, tapas casing)::Y8.6-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con aceites usados::Y9.2-Elementos o materiales contaminados con hidrocarburos (ej. EPP, estopas, textiles, plásticos, caucho, sierras, geomembranas).::Y9.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con hidrocarburos.::Y12-Desechos resultantes de la producción, preparación y utilización de tintas, colorantes, pigmentos, pinturas, lacas o barnices.::A3020.2-Elementos o materiales contaminados con aceite lubricante usado (ej. EPP, estopas, trapos, filtros, cauchos, aserrín, plásticos, grasas minerales, tapas casing)::A3020.6-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con aceites usados::A3020.7-Otros desechos de mezclas de aceite y agua no clasificados previamente::A4020-Desechos clínicos y afines::A4020.1-Desechos clínicos y afines ANATOMOPATOLÓGICOS::A4020.2-Desechos clínicos y afines BIOSANITARIOS::A4020.3-Desechos clínicos y afines CORTOPUNZANTES::A4020.4-Desechos clínicos y afines DE ANIMALES::A4030.2-Elementos o materiales contaminados con plaguicidas, biocidas, productos fitofarmacéuticos (ej. EPP, estopas, trapos, cauchos, aserrín, arena, materiales de embalaje)::A4060.2-Elementos o materiales contaminados con hidrocarburos (ej. EPP, estopas, textiles, plásticos, caucho, sierras, geomembranas).::A4060.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con hidrocarburos::A4130-Envases y contenedores de desechos que contienen sustancias incluidas en el Anexo I, en concentraciones suficientes como para mostrar las características peligrosas del Anexo III.::A4130.1-Otros envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con productos o sustancias químicas peligrosas, DIFERENTES a plaguicidas, biocidas, productos fitofarmacéuticos (Y4.5/A4030.5), hidrocarburos (Y9.5/A4060.5), aceites usados (Y8.6/A3020.6), PCB (Y10.4/A3180.4), sustancias CFC, HCFC, HFC y halones (Y45.6).::",Térmico: Incineración::,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2421,12/08/2016,,SI,3
184,HUILA,NEIVA,CAM,800113677,PETROLABIN S.A.S,PETROLABIN S.A.S,Activo,01/02/2008,KM5 VIA SAN JOSE,8760021 -,'3.0084128531192755','-75.31791687360966',inf@petrolabin.com,CARLOS ALBERTO RESTREPO RAMBURO,876021 -,inf@petrolabin.com,"Y8.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::Y9.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::A4060-Desechos de mezclas y emulsiones de aceite y agua o de hidrocarburos y agua.::A4060.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::A4060.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::A4060.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::","Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::Y9.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::A3020.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::A3020.7-Otros desechos de mezclas de aceite y agua no clasificados previamente::A4060.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::A4060.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::A4060.4-Mezclas o emulsiones líquidas de agua con hidrocarburo con contenido de sólidos 3%)::A4060.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con hidrocarburos::A4060.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::Y8.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::Y8.4-Mezclas de aceite lubricante usado con agua::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::",Biológico (ej: bioremediación)::,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1711,20/06/2017,20/06/2022,SI,4
185,HUILA,AIPE,CAM,813007077,TOTAL WASTE MANAGEMENT S.A.,TOTAL WASTE MANAGEMENT S.A,Activo,01/01/2003,PREDIO BELEN 1 DE LA VEREDA DINDAL,3132825 -,'3.1630522601103177','-75.29307047137992',twm-sa@twm-sa.co,RAFAEL MANTILLA BLANCO,3133135 -,twm.sa@twm-sa.com,"A4060.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::A4060.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::A4060.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con hidrocarburos::","A4060.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::A4060.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::A4060.4-Mezclas o emulsiones líquidas de agua con hidrocarburo con contenido de sólidos 3%)::",Biológico (ej: bioremediación)::,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2612,15/09/2016,15/09/2021,SI,2
186,HUILA,PALERMO,CAM,900925705,GRUPO ECORPIN SAS,GRUPO ECORPIN S.A.S,Activo,06/09/2021,LOTE 1 CALLE 1 No. 4 - 105 Vereda Oriente,3022784642 -,'2.923436435265417','-75.31616091728212',grupoecorpinsas@hotmail.com,ALEXANDER CARO GARCA,3022784642 -,grupoecorpinsas@gmail.com,"Y8.4-Mezclas de aceite lubricante usado con agua::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::A3020-Aceites minerales de desecho no aptos para el uso al que estaban destinados.::A3020.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::A3020.4-Mezclas de aceite lubricante usado con agua::A4060-Desechos de mezclas y emulsiones de aceite y agua o de hidrocarburos y agua.::A4060.4-Mezclas o emulsiones líquidas de agua con hidrocarburo con contenido de sólidos 3%)::Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::","Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::","Físico-químico (ej: evaporación, secado, neutralización, precipitación)::","Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y8.4-Mezclas de aceite lubricante usado con agua::Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::A3020-Aceites minerales de desecho no aptos para el uso al que estaban destinados.::A3020.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::A3020.4-Mezclas de aceite lubricante usado con agua::A4060-Desechos de mezclas y emulsiones de aceite y agua o de hidrocarburos y agua.::A4060.4-Mezclas o emulsiones líquidas de agua con hidrocarburo con contenido de sólidos 3%)::",R9-Regeneración u otra reutilización de aceites usados (ej. re-refinación)::,NO,NO,NO,NO,NO,NO,NO,NO,NO,2498,06/09/2021,,SI,1
